DENOMINAÇÃO SOCIAL ,NOME DE PREGÃO,CÓDIGO,CNPJ,DATA REGISTRO,DATA DE CANCELAMENTO,ÚLTIMO ENDEREÇO E ; TELEFONE DA SEDE ,MOTIVO DO CANCELAMENTO
521 PARTICIPAÇÕES S.A.,521 PARTICIP,QVUM,01.547.749/0001-16,7/11/1997,27/08/2007,"Rua Senador Dantas, 105  - 37º andar / Sala 04; CEP:20031-204; São Paulo - SP; Tel.:(21)3808-3211",Mudou registro para Balcão Organizado (SOMA).
A.P. PARTICIPAÇÕES S.A.,A P PART,APPA,02.288.752/0001-25,1/21/1998,12/28/2004,"Av. Presidente Wilson,231 - 
18ºandar / Parte ; CEP: 20030 - 021
; Rio de Janeiro - RJ
; Tel.: (21)2217-2888",Cancelou registro de Cia Aberta . Aprovado por 100% dos acionistas.
ABC SUPERMERCADOS S.A.,ABC SUPERMER,PICO,02.258.274/0001-00,2/27/1998,12/20/2001,"Rua Paulo Barbosa,161 A 201
; CEP: 25620 - 100 
; Petropólis - RJ
; Tel.: (24)237-1415",Cancelou registro de Cia Aberta . Aprovado por 100% dos acionistas.
ABYARA PLANEJAMENTO IMOBILIÁRIO S.A.,ABYARA,ABYA,07.794.351/0001-60,24/07/2006,6/1/2010,"Rua Gomes de Carvalho, 1510 - 6º andar; CEP:04547-005; São Paulo - SP; Tel.:(11)3296-0100","Incorporada pela Agre Empreendimentos Imobiliários S.A. Cada 1,728552354 ações ON foram substituídas por 1 (uma) ação ON da Agre Empreendimentos Imobiliários S.A."
AÇOS VILLARES S.A.,ACOS VILL,AVIL,60.664.810/0001-74,11/11/1946,16/03/2011,"Av. das Nações Unidas, 8.501 - 5º andar / Parte; CEP:05425-070; São Paulo - SP; Tel.:(11)3094-6600",Incorporada pela Gerdau S.A. Cada 24 ações ON foram substituídas por 1 ação PN da Gerdau S.A.
ACTORI PARTICIPAÇÕES S.A.,ACTORI PART,ACTO,02.808.627/0001-07,12/9/1998,4/30/2002,"Av. Brigadeiro Faria Lima,3729  - 
7ºandar 
; CEP: 04538 - 905
; São Paulo - SP
; Tel.: (11)3049-5585",Cancelou registro de Cia Aberta . Aprovado por 100% dos acionistas.
AÇUCAR GUARANI S.A.,GUARANI,ACGU,47.080.619/0001-17,7/20/2007,17/08/2010,"Rod. Assis Chateaubriand - KM 155 - , s/n ; CEP:15400-000; Assis - SP; Tel.:(17)3280-1000",Incorporada pela Tereos Internacional S.A. Cada ação ON foi substituída por uma ação ON da Tereos Internacional S.A.
AES ELPA S.A.,AES ELPA ,AELP,01.917.705/0001-30,10/14/2002,9/11/2018,"Avenida Doutor Marcos Penteado de Ulhôa Rodrigues, 939 / 5º andar, Sala 01, Torre II; cep: 06460-040; Barueri-SP; Tel.: (11) 2195-7048",Cancelou registro de cia. aberta.
AES TIETE S.A.,AES TIETE ,GETI,02.998.609/0001-27,7/14/1999,1/27/2016,"Av. Dr. Marcos Penteado de Ulhôa Rodrigues, 939, Torre II - 7º andar; Cep: 06460-040; Barueri-SP; Tel.: (11) 2195-7048",Incorporada pela Cia Brasiliana de Energia. Cada ação (ON ou PN) de esmissão da Aes Tietê foram substituídas por 4 ações PN e 1 ação ON de emissão da Companhia Brasiliana de Energia. 
AETATIS S.A.,AETATIS SEC,AETA,02.808.481/0001-91,12/17/1998,6/29/2016,"Avenida Presidente Juscelino Kubitschek, 510 - 10º andar; CEP: 04543-000; São Paulo-SP; Tel.: (11) 3127-5500",Cancelou registro de cia. aberta.
AFLUENTE GERAÇÃO DE ENERGIA ELÉTRICA S.A.,AFLUENTE ,AFLU,07.620.094/0001-40,7/13/2006,11/28/2017,"Rua Leopoldo Couto Magalhães Jr, 758 - Conjunto 31; CEP: 4542-000; São Paulo-SP; Tel.:(11) 3147-7164",Cancelou registro de cia. aberta.
AGF BRASIL SEGUROS S.A.,AGF BRASIL ,BSGR,61.573.796/0001-66,4/9/1985,6/10/2005,"Rua Luís Coelho,26 -  
8ºandar
; CEP: 01309 - 900
; São Paulo - SP 
; Tel.: (11)3171-6856
","Cancelou registro de Cia Aberta . O acionista controlador, AGF do Brasil Participações  Ltda. em conjunto com a Companhia, realizou OPA na BOVESPA em 03/05/2005 ao preço de R$ 1.080,00 /mil ações, a ser atualizado pela TR calculada pró rata-temporis, desde 15/12/2004 até a data da liquidação financeira do leilão."
AGIP DISTRIBUIDORA S.A.,AGIP DISTRIB,SPPE,61.442.752/0001-05,8/19/1971,1/19/2000,"Av. Paulista,2073 - 
2ºTerraço  
; CEP: 01311 - 940             
; São Paulo - SP             
; Tel.: (11)3177-2000","Cancelou registro de Cia Aberta . O acionista controlador, Agipliquigás S.A. realizou OPA na BOVESPA em 06/01/2000 ao preço de R$ 2,22 /ação."
AGRA EMPREENDIMENTOS IMOBILIÁRIOS S.A.,AGRA INCORP,AGIN,07.698.047/0001-10,19/04/2007,6/1/2010,"Rua Gomes de Carvalho, 1510  - 6º andar; CEP:04547-005; São Paulo - SP; Tel.:(11) 3527-0005","Incorporada pela Agre Empreendimentos Imobiliários S.A. Cada 1,728552354 ações ON, foi substituída por 1 (uma) ação da Agre Empreendimentos Imobiliários S.A."
AGRALE S.A.,AGRALE,AGRA,88.610.324/0001-92,11/25/1985,6/29/2000,"Rod. Br 116 - Km 145                Nº15104                 
; CEP: 95001 - 470            
; Caxias do Sul - RS 
; Tel.: (54)229-1133","Cancelou registro de Cia Aberta . O acionista controlador, Participale Administração e Participações Ltda. realizou OPA na BOVESPA em 18/05/2000 ao preço R$ 1,11 /mil ações."
AGRE EMPREENDIMENTOS IMOBILIÁRIOS S.A.,AGRE EMP IMO,AGEI,11.040.082/0001-14,22/12/2009,20/07/2010,"Rua Gomes de Carvalho, 1.510  - 6º andar; CEP:04547-005; São Paulo - SP; Tel.:(11)3296-0200","Incorporada pela PDG Realty S.A. Empreendimentos e Participações. Cada ação ON foi substituída por 0,495 ação ON da PDG Realty S.A. Empreendimentos e Participações."
AGRENCO LTD.,AGRENCO,AGEN,08.943.312/0001-40,10/22/2007,3/6/2017,"Church Street, 2 - HM 11; -; Bermudas -; -","Listagem cancelada na BM&FBOVESPA, nos termos do item 10.2 do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários (Regulamento), devido ao descumprimento de requisitos previstos no Regulamento."
ALBAE PARTICIPAÇÕES S.A.,ALBAE PART,ALPT,02.783.422/0001-06,12/10/1998,5/24/2002,"Av. Brigadeiro Faria Lima,3729 -  
7ºandar              
; CEP: 04538 - 905               
; São Paulo - SP
; Tel.: (11)3049-5585 ",Cancelou registro de Cia Aberta . Aprovado por 100% dos acionistas .
ALFRED S.A.  COMÉRCIO DO VESTUÁRIO ,ALFRED,AFRD,92.689.173/0001-87,1/21/1986,2/19/1999,"Rua Vigário José Inácio,433 - 5ºandar 
; CEP: 90020-100
; Porto Alegre - RS 
; Tel.:  (51)224-0808



",Registro cancelado pela BVES. A BOVESPA cancelou autorização para negociação em 22/10/1998.
ALIANSCE SHOPPING CENTERS S.A.,ALIANSCE ,ALSC,06.082.980/0001-03,1/28/2010,8/30/2019,"Rua Dias Ferreira, 190 - 3º andar - Sala 301; CEP: 22431-050; Rio de Janeiro - RJ; Tel.: (21) 2176-7272","Incorporada pela Sonae Sierra Brasil S.A. Cada ação foi substituída por 0,787808369 ações da Sonae. "
ALIUM PARTICIPAÇÕES S.A.,ALIUM PART,ALIU,02.783.425/0001-40,12/10/1998,8/14/2001,"Av. Rio Branco,100  - 38ºandar / Parte             ; CEP: 20040 - 001               ; Rio de Janeiro - RJ
; Tel.: (21)3873-9000 ",Mudou registro para Balcão Organizado (SOMA).
ALTUS SISTEMA DE AUTOMAÇÃO S.A.,ALTUS S/A ,ALTS,92.859.974/0001-43,7/2/2013,11/29/2017,"Avenida Theodomiro Porto da Fonseca, 3101 - Lote 1; CEP: 93022-715; São Leopoldo-RS; Tel.: (51) 3589-9500","nListagem cancelada na B3 nos termos do item 9.1 de seu Regulamento para Listagem de Emissores e Admissão à Negociação de Valores Mobiliários, atendendo pleito da companhia. "
AMADEO ROSSI S.A. METALÚRGICA E MUNIÇÕES,AMADEO ROSSI,ROSI,96.735.105/0001-68,1/9/1969,9/18/2002,"Rua Amadeo Rossi,143         ; CEP: 93030 - 220               ; São Leopoldo - RS
; Tel.: (51)590-2222 ","Cancelou registro de Cia Aberta . O acionista controlador, RH Comercial Metalúrgica Ltda. realizou OPA na BOVESPA em 28/08/2002  ao preço de R$ 0,75 /Mil Ações."
AMALFI EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,NOROESTE,GRID,24.170.211/0001-30,8/14/2018,11/8/2018,"Avenida Bartolomeu Mitre, 336
; CEP: 22430 - 190
; Rio de Janeiro - RJ
; Tel.: (21) 2159-6186",Cancelou registro de cia. aberta.
AMARANTE  PARTICIPAÇÕES S.A.,AMARANTE,AMRT,02.036.227/0001-12,8/11/1998,6/20/2000,"Av. Rio Branco,138 - 
7ºandar / Parte
; CEP: 20057 - 900
; Rio de Janeiro - RJ
; Tel.: (21)508-4000 ",Cancelou registro de Cia Aberta . Não estava admitida à cotação na BOVESPA.
AMELCO S.A. INDÚSTRIA ELETRÔNICA,AMELCO,AMLC,57.009.078/0001-94,5/23/1986,7/22/2003,"Rua Monte Mor,50
; CEP: 06835 - 900
; Embú - SP
; Tel.: (11)4785-1466","Cancelou registro de Cia Aberta . O acionista controlador, João Luís Pereira Lima realizou OPA na BOVESPA em 10/07/2003 ao preço de R$ 2,20 /mil ações."
AMÉRICA SUL LEASING S.A. ARRENDAMENTO MERCANTIL,AMER LEASING,AMSL,44.081.677/0001-77,9/28/1982,3/15/2000,"Av. Paulista,688
; CEP: 01310 - 909
; São Paulo - SP
; Tel.: (11)283-3288","Cancelou registro de Cia Aberta . O acionista controlador, Banco América do Sul S.A. realizou OPA na BOVESPA em 16/02/2000 ao preço de R$ 154,57 /mil ações."
AMERICEL S.A.,AMERICEL,AMCE,01.685.903/0001-16,3/26/1997,9/12/2012,SCN Quadra 03-Bl A - Loja 2/T e 9 Pavim.; CEP: 70713-000; Brasília-DF; Tel.: (11) 9415-6866,"Incorporada pela Claro S.A. Cada 6,231 ações da Americel foi substituída por 1(uma) ação da Claro S.A., observada a espécie."
AMIL PARTICIPACOES S.A.,AMIL,AMIL,36.461.242/0001-20,10/24/2007,5/13/2013,"Avenida das Américas, 4200, Bloco B, 3º andar; CEP: 22640-907; Rio de Janeiro - RJ; Tel.(21) 3805-1155","Cancelou registro de cia aberta. A acionista Mind Solutions S.A. realizou OPA na BMFBOVESPA em 23/04/2013 ao preço de R$ 31,80 /ação. "
ANGLO  FERROUS BRAZIL S.A.,ANGLO BRAZIL,IRON,09.295.979/0001-47,24/04/2008,26/12/2008,"Praia do Flamengo, 154  - Sala 501; CEP:22210-030; Rio de Janeiro - RJ; Tel.:(22)2555-5557","Cancelou registro de Cia Aberta .O acionista controlador, Anglo American Participações em Mineração Ltda. realizou OPA na BMFBOVESPA em 02/12/2008 ao preço de R$ 29,42 /ação."
ANHANGUERA EDUCACIONAL PARTICIPACOES S.A,ANHANGUERA ,AEDU,04.310.392/0001-46,6/8/2001,10/13/2014,"Alameda Maria Tereza, 4266, Sala 06; CEP: 13278-181; Valinhos-SP; Tel.: (19) 3517-4795","Teve suas ações incorporadas pela Kroton Educacional S.A. Cada ação ordinária foi substituída por 0,30970293 ações ordinárias da Kroton Educacional S.A. "
ÁQUILLA SECURITIZADORA S.A.,AQUILLA SEC,AQSC,09.439.783/0001-89,8/11/2008,1/5/2017,"Rua Líbero Badaró, 425 - Conjunto 181/18º andar; CEP: 01009-905; São Paulo-SP; Tel.; (11) 3291-5141",Não iniciou a negociação de seus valores mobiliários até o prazo máximo previsto no Regulamento para Listagem de Emissores e Admissão à Negociação de Valores Mobiliários da BM&FBOVESPA.
ARACRUZ CELULOSE S.A.,ARACRUZ,ARCZ,42.157.511/0001-61,21/01/1985,2/8/2010,"Rodovia Aracruz/Barra do Riacho - Km 25,  ; CEP:29197-900; Aracruz - ES; Tel.:(27)3270-2442","Incorporada pela Fibria Celulose S.A. Cada ação independente da espécie ou classe foi substituída por 0,1347 ação ON da Fibria Celulose S.A."
ARBRA S.A.,ARBRA,ARBR ,00.237.000/0001-00,2/20/1995,10/8/1999,"Av. Rio Branco,131 Sala 801 / Parte
; CEP: 20031-000 
; Rio de Janeiro - RJ
; Tel.:  (21)514-9600",Mudou registro para Balcão Organizado.
ARCELOR BRASIL S.A.,ARCELOR BR,ARCE,24.315.012/0001-73,1/9/1969,20/06/2007,"Av. Carandai, 1115  - 24º andar ; CEP:30130-915; São Paulo - SP; Tel.:(31)3219-1420","Cancelou registro de Cia Aberta. O acionista controlador Mittal Steel Company N.V. realizou OPA  na BOVESPA em 04/06/2007, cujo pagamento do preço da aquisição das ações deu-se de uma  das seguintes formas: 
I - O valor de R$ 10,82 devidamente ajustado pelo dividendo e juros sobre capital próprio, a ser pago em reais, e 0,3568 ação ordinária classe A de emissão da Arcelor Mittal por ação da Arcelor Brasil; 
II - R$53,89 a ser pago em reais, que corresponde ao valor de (a) 0,3568 ação de emissão da Mittal Steel, calculado com base do preço de fechamento da NYSE - New York Stock Exchange – de US$63,37 em 01 de junho de 2007, dia imediatamente anterior ao último dia do período da Oferta, convertidos para reais à taxa de câmbio média de compra e venda PTAX BRL / USD, no valor de 1,9052 em tal dia e (b) R$10,82 devidamente ajustado pelo dividendo e juros sobre capital próprio, a ser pago em reais. "
